playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
aardsda01,2004,1,SFN,NL,P,11,0.0,32.0,0,0,0.0,0,,,,,
aardsda01,2006,1,CHN,NL,P,45,0.0,159.0,1,5,0.0,1,,,,,
aardsda01,2007,1,CHA,AL,P,25,0.0,97.0,2,4,1.0,0,,,,,
aardsda01,2008,1,BOS,AL,P,47,0.0,146.0,3,6,0.0,0,,,,,
aardsda01,2009,1,SEA,AL,P,73,0.0,214.0,2,5,0.0,1,,,,,
aardsda01,2010,1,SEA,AL,P,53,0.0,149.0,2,3,1.0,0,,,,,
aardsda01,2012,1,NYA,AL,P,1,0.0,3.0,0,0,0.0,0,,,,,
aardsda01,2013,1,NYN,NL,P,43,0.0,119.0,1,5,0.0,0,,,,,
aardsda01,2015,1,ATL,NL,P,33,0.0,92.0,0,1,1.0,0,,,,,
aaronha01,1954,1,ML1,NL,OF,116,113.0,3093.0,223,5,7.0,0,,,,,
aaronha01,1955,1,ML1,NL,2B,27,26.0,709.0,86,84,6.0,23,,,,,
aaronha01,1955,1,ML1,NL,OF,126,125.0,3329.0,254,9,9.0,2,,,,,
aaronha01,1956,1,ML1,NL,OF,152,152.0,4048.0,316,17,13.0,4,,,,,
aaronha01,1957,1,ML1,NL,OF,150,150.0,4069.0,346,9,6.0,0,,,,,
aaronha01,1958,1,ML1,NL,OF,153,153.0,4083.0,305,12,5.0,0,,,,,
aaronha01,1959,1,ML1,NL,3B,5,5.0,126.0,2,10,0.0,0,,,,,
aaronha01,1959,1,ML1,NL,OF,152,149.0,3980.0,261,12,5.0,3,,,,,
aaronha01,1960,1,ML1,NL,2B,2,0.0,6.0,1,0,0.0,0,,,,,
aaronha01,1960,1,ML1,NL,OF,153,153.0,4129.0,320,13,6.0,6,,,,,
aaronha01,1961,1,ML1,NL,3B,2,0.0,27.0,2,2,0.0,0,,,,,
